Sample description: chromixs
Sample: chromixs  c= 0 mg/ml  Code: chromixs
  7.039730e-02   9.631058e-03   9.218443e-04
  7.207080e-02   9.766030e-03   8.684666e-04
  7.374420e-02   8.843113e-03   8.136759e-04
  7.541760e-02   8.945431e-03   8.154272e-04
  7.709100e-02   9.977515e-03   7.570390e-04
  7.876440e-02   1.056108e-02   7.331171e-04
  8.043780e-02   9.601280e-03   7.024109e-04
  8.211120e-02   1.003614e-02   6.917577e-04
  8.378460e-02   9.120092e-03   6.561140e-04
  8.545810e-02   1.034945e-02   6.314305e-04
  8.713150e-02   1.034247e-02   6.175362e-04
  8.880490e-02   9.734759e-03   5.936211e-04
  9.047830e-02   9.147489e-03   5.820975e-04
  9.215170e-02   9.108284e-03   5.566403e-04
  9.382510e-02   8.957108e-03   5.421865e-04
  9.549850e-02   9.174255e-03   5.317343e-04
  9.717190e-02   9.087457e-03   5.207824e-04
  9.884540e-02   1.059323e-02   5.120861e-04
  1.005190e-01   9.838306e-03   4.887199e-04
  1.021920e-01   9.617801e-03   4.889954e-04
  1.038660e-01   8.666130e-03   4.731773e-04
  1.055390e-01   9.621815e-03   4.613323e-04
  1.072120e-01   9.426065e-03   4.597304e-04
  1.088860e-01   9.649976e-03   4.397331e-04
  1.105590e-01   9.250600e-03   4.476551e-04
  1.122330e-01   9.335712e-03   4.311529e-04
  1.139060e-01   8.707993e-03   4.194850e-04
  1.155790e-01   9.535538e-03   4.210583e-04
  1.172530e-01   9.322995e-03   4.191806e-04
  1.189260e-01   9.009555e-03   4.247019e-04
  1.206000e-01   8.388167e-03   4.113314e-04
  1.222730e-01   9.326502e-03   4.116030e-04
  1.239470e-01   8.931137e-03   4.137200e-04
  1.256200e-01   9.668381e-03   4.046432e-04
  1.272930e-01   9.103953e-03   4.065745e-04
  1.289670e-01   9.747334e-03   4.045175e-04
  1.306400e-01   9.315540e-03   4.015419e-04
  1.323140e-01   9.497723e-03   4.040319e-04
  1.339870e-01   8.931880e-03   3.920603e-04
  1.356600e-01   9.332929e-03   3.883949e-04
  1.373340e-01   9.274624e-03   3.916035e-04
  1.390070e-01   8.765556e-03   3.888814e-04
  1.406810e-01   9.398576e-03   3.880450e-04
  1.423540e-01   9.042513e-03   3.807459e-04
  1.440270e-01   9.714670e-03   3.791187e-04
  1.457010e-01   9.044486e-03   3.846390e-04
  1.473740e-01   9.581541e-03   3.775499e-04
  1.490480e-01   9.052743e-03   3.756828e-04
  1.507210e-01   9.242312e-03   3.724111e-04
  1.523950e-01   9.152886e-03   3.700527e-04
  1.540680e-01   9.300293e-03   3.710701e-04
  1.557410e-01   9.532122e-03   3.655667e-04
  1.574150e-01   9.242845e-03   3.645719e-04
  1.590880e-01   9.321735e-03   3.679516e-04
  1.607620e-01   8.881806e-03   3.622204e-04
  1.624350e-01   9.440624e-03   3.586587e-04
  1.641080e-01   8.814331e-03   3.561880e-04
  1.657820e-01   8.989564e-03   3.552110e-04
  1.674550e-01   9.119379e-03   3.588445e-04
  1.691290e-01   9.269646e-03   3.537859e-04
  1.708020e-01   9.085497e-03   3.488550e-04
  1.724760e-01   8.661771e-03   3.501100e-04
  1.741490e-01   9.603769e-03   3.496764e-04
  1.758220e-01   9.552354e-03   3.498135e-04
  1.774960e-01   9.531364e-03   3.432573e-04
  1.791690e-01   9.475079e-03   3.439063e-04
  1.808430e-01   9.424189e-03   3.473487e-04
  1.825160e-01   9.329925e-03   3.397901e-04
  1.841890e-01   9.262088e-03   3.433501e-04
  1.858630e-01   8.650496e-03   3.339092e-04
  1.875360e-01   9.509916e-03   3.391477e-04
  1.892100e-01   9.080178e-03   3.414897e-04
  1.908830e-01   7.976631e-03   3.260764e-04
  1.925560e-01   8.776601e-03   3.340428e-04
  1.942300e-01   9.585081e-03   3.309939e-04
  1.959030e-01   9.565555e-03   3.369004e-04
  1.975770e-01   9.775468e-03   3.286622e-04
